"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-363-3p",18624.9799218963,2.31734778126003,0.498733547012774,4.64646462051745,3.37672013135825e-06,7.88801822685288e-05
"hsa-miR-375-3p",40.9307536571567,1.97430200198142,0.429895699966019,4.59251395661197,4.37938212308264e-06,0.000100296437642363
"hsa-miR-625-3p",449.173301040848,-0.717894458759551,0.156671185001069,-4.58217290406435,4.60169156553826e-06,0.000103361072087475
"hsa-miR-3120-5p",22.2727553380617,3.96884707697741,0.868461795405666,4.56997313868427,4.87786731389897e-06,0.000107497151370453
"hsa-miR-629-5p",229.264854386504,-0.640180424705085,0.140372006484295,-4.56059894518006,5.10079202008367e-06,0.00011032824221218
"hsa-miR-219a-2-3p",6281.58156937954,1.23796826338223,0.27270366088552,4.53960999042812,5.63583754808709e-06,0.000119684695566649
"hsa-miR-99b-3p",1816.00667227214,-0.499290286805628,0.110362071161087,-4.52411124177665,6.06498205640072e-06,0.000126498197176358
"hsa-miR-18b-5p",23.1539162701241,1.21554886225519,0.269813458550927,4.50514540224746,6.6327510700056e-06,0.000135913214908185
"hsa-miR-1271-5p",505.323681187642,-0.660168377421043,0.148198695514323,-4.45461665590194,8.4043222992996e-06,0.000169245662854861
"hsa-miR-338-5p",595.208140994161,-0.68880300925151,0.155746898520367,-4.42257929881947,9.75295351613892e-06,0.000193075418760174
"hsa-miR-148a-5p",171.76870782105,1.14572942893401,0.260225711064362,4.40282946772554,1.06848151532512e-05,0.000204587936049138
"hsa-miR-182-5p",2094.86406651346,2.22717081898726,0.505505045879951,4.40583301223104,1.0537812243873e-05,0.000204587936049138
"hsa-miR-424-5p",16.3474348331658,4.41361470716539,1.00759386074605,4.38035093216768,1.18488327996624e-05,0.000223216721129124
"hsa-miR-34c-5p",368.702662280044,1.99815829310934,0.458855721140517,4.35465485347504,1.33276739622444e-05,0.000247090844252404
"hsa-miR-184",72.3141467478692,1.06070110054785,0.244078763372715,4.34573285234212,1.38811429046196e-05,0.000253330858009308
"hsa-miR-320c",749.522718097987,0.704000884305826,0.162762285109887,4.32533177959825,1.52302457113373e-05,0.000273675799859108
"hsa-miR-935",359.324241506575,-0.378257754331295,0.0890330663828964,-4.2485086687294,2.1519832091581e-05,0.000380835816408585
"hsa-miR-320d",523.038004870504,0.830721050049775,0.196369822140102,4.23039060175492,2.33285876516486e-05,0.000406683438464561
"hsa-miR-3120-3p",21.248301779888,3.14645436569954,0.745345650112032,4.22147008602868,2.42714169319817e-05,0.000410855289515285
"hsa-miR-5787",52.6948430787327,1.31106543334292,0.310555680707198,4.22167590158828,2.42492610035281e-05,0.000410855289515285
"hsa-miR-328-3p",5328.1623266184,-0.371144256682298,0.088046100456613,-4.21534008613124,2.49402065237653e-05,0.000416145160282256
"hsa-miR-7704",402.805498568083,1.59769224132447,0.380086403416519,4.20349748626401,2.62822072162391e-05,0.000432360817303764
