"gene","module"
"SPRED3","black"
"SPRY4-AS1","black"
"SPRYD4","black"
"SRP14","black"
"SRP19","black"
"SRP9P1","black"
"SRSF8","black"
"SRXN1","black"
"SSNA1","black"
"SSU72","black"
"ST6GAL2","black"
"STAM-DT","black"
"STK25","black"
"STMP1","black"
"STOX2","black"
"STUB1","black"
"STX18-AS1","black"
"STX3","black"
"STX7","black"
"STXBP2","black"
"SUCLA2","black"
"SURF2","black"
"SYNE1","black"
"SYT14","black"
"TACR2","black"
"TAF7L","black"
"TAOK2","black"
"TAS2R4","black"
"TBC1D12","black"
"TBC1D22A","black"
"TBC1D8","black"
"TCAF2","black"
"TERF2IP","black"
"TEX22","black"
"TFAP2B","black"
"TFE3","black"
"THUMPD3-AS1","black"
"TIMM13","black"
"TIMM22","black"
"TIMM23","black"
"TIMM8B","black"
"TIMP4","black"
"TM4SF19-AS1","black"
"TMA7","black"
"TMCC1","black"
"TMEM126B","black"
"TMEM167A","black"
"TMEM175","black"
"TMEM251","black"
"TMEM30A-DT","black"
"TNFSF13","black"
"TNIP3","black"
"TOMM5","black"
"TPGS1","black"
"TPM3P9","black"
"TPRG1L","black"
"TRA2A","black"
"TRA2B","black"
"TRAPPC12","black"
"TRAPPC14","black"
"TRAPPC2L","black"
"TRAPPC3","black"
"TRIB2","black"
"TRIM4","black"
"TRIM44","black"
"TRIM47","black"
"TRIM52-AS1","black"
"TRIM66","black"
"TRIM67","black"
"TRIM69","black"
"TRMT10B","black"
"TRMT6","black"
"TRUB1","black"
"TSFM","black"
"TSPYL4","black"
"TSR2","black"
"TSR3","black"
"TSSC4","black"
"TTC1","black"
"TTC23L-AS1","black"
"TTLL11","black"
"TUB","black"
"TYW5","black"
"U2AF1L4","black"
"UBAC1","black"
"UBASH3A","black"
"UBASH3B","black"
"UBE2E2","black"
"UBE2E3","black"
"UBE2J1","black"
"UBE2M","black"
"UBE2MP1","black"
"UBE2N","black"
"UBFD1","black"
"UBL3","black"
"UBXN6","black"
"UCN","black"
"UFM1","black"
"UGDH-AS1","black"
"ULK1","black"
"UMAD1","black"
"UPF3A","black"
"UQCC2","black"
"UQCR10","black"
"UQCR11","black"
"UROS","black"
"USP27X","black"
"USP34","black"
"UTP23","black"
"VAMP7","black"
"VAPB","black"
"VBP1","black"
"VHL","black"
"VMA21","black"
"VPS29","black"
"VPS8","black"
"VPS9D1","black"
"VTI1A","black"
"VWA8-AS1","black"
"WARS2","black"
"WASF3","black"
"WASH2P","black"
"WASH9P","black"
"WDPCP","black"
"WDR25","black"
"WDR37","black"
"WHAMMP3","black"
"WNK3","black"
"WTIP","black"
"XIAP","black"
"YAE1","black"
"YJU2","black"
"YWHAB","black"
"Y_RNA","black"
"ZBTB20","black"
"ZBTB37","black"
"ZBTB4","black"
"ZBTB7C","black"
"ZBTB8B","black"
"ZC3H12B","black"
"ZCCHC18","black"
"ZDHHC3","black"
"ZFAND2A","black"
"ZFAND6","black"
"ZFP28","black"
"ZMYND11","black"
"ZMYND19","black"
"ZNF165","black"
"ZNF239","black"
"ZNF252P","black"
"ZNF271P","black"
"ZNF33A","black"
"ZNF33B","black"
"ZNF391","black"
"ZNF470","black"
"ZNF470-DT","black"
"ZNF488","black"
"ZNF512","black"
"ZNF512B","black"
"ZNF560","black"
"ZNF561-AS1","black"
"ZNF576","black"
"ZNF582-DT","black"
"ZNF602P","black"
"ZNF641","black"
"ZNF667-AS1","black"
"ZNF737","black"
"ZNF767P","black"
