"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CPAMD8",287.885210961518,-1.42016695187081,0.190915769956182,-7.43870950103684,1.01673631750081e-13,7.46976987502488e-13
"TCAIM",1246.40386985504,0.558153770359106,0.0750537347847759,7.43672212928067,1.03214341935216e-13,7.57798070929746e-13
"LCP1",185.316700924852,4.13029124807419,0.555555579694667,7.4345239235005,1.04945234608321e-13,7.70000344143589e-13
"TMOD1",722.096903074469,-0.753115912970902,0.10130909111054,-7.43384334727831,1.05486888636462e-13,7.73720536309907e-13
"PSMG1",1647.55152696095,0.534291065613211,0.0719528928156771,7.42556754433644,1.12297343240726e-13,8.23133264705473e-13
"TMCC1-DT",195.376465936762,1.45699094282876,0.196370681689886,7.41959507544858,1.17478943303341e-13,8.60267661823841e-13
"MMRN2",334.793600205497,-1.09607897669357,0.147748879516601,-7.41852649089232,1.18430492214262e-13,8.66951546182949e-13
"PLEKHO2",160.423106522258,-1.6499410803534,0.22242357532159,-7.41801348156478,1.1889000170167e-13,8.70030336617758e-13
"CCDC177",860.031779144862,-0.691495888193925,0.0932273546996148,-7.41730675960907,1.19525892832278e-13,8.74397439904607e-13
"ZFYVE26",1484.10425966746,-0.615707613719127,0.0830569080547934,-7.41308132145901,1.23398165372078e-13,9.02134641118932e-13
"ANKFN1",106.828027733352,-1.9453026521071,0.262564593554948,-7.40885366823078,1.27395778085992e-13,9.30751305800532e-13
"TSKU",311.333632325333,-1.17328228018647,0.158412621981733,-7.4064949213565,1.29681206544405e-13,9.46829560621007e-13
"HSPG2",178.15711537957,1.54042286859896,0.208118472799086,7.40166333089546,1.34489123673611e-13,9.8161248366477e-13
"SCARB1",1181.8441739012,0.670654561347559,0.090720848966131,7.39250755466294,1.44085310543697e-13,1.04959667709944e-12
"CHCHD3",1785.09446654617,0.503642674070533,0.0681740552193992,7.38760034810455,1.49502297259922e-13,1.08870213146367e-12
"GPLD1",1440.46845627031,-0.546512766430255,0.0740019472417027,-7.38511332202182,1.52323596694643e-13,1.1085249308136e-12
"SDHB",1240.80381198486,0.58198780222904,0.0789295568023007,7.37350906057636,1.66194387263661e-13,1.20750271812599e-12
"AQP3",350.796234391502,1.08578397551773,0.147532126621953,7.35964430513515,1.844009186335e-13,1.33847876925628e-12
"TMEM68",905.488373170586,0.628562426139697,0.0854229008471606,7.35824257788114,1.86347189287451e-13,1.35172779402312e-12
"IFITM3",195.129786932395,-1.368817628513,0.186087239397458,-7.35578448551966,1.8980904463028e-13,1.37594626611811e-12
"CCDC3",348.569910254722,-1.25996849900009,0.171322839365135,-7.35435219068932,1.91855270602455e-13,1.39032861306559e-12
"TTN",1076.65598809781,-0.691931242416564,0.0941260252205233,-7.35111506934954,1.96560109228484e-13,1.42350028553059e-12
"TRIOBP",2505.89166977596,-0.513419305048315,0.0698499312861971,-7.35031940038245,1.97733781091131e-13,1.43153620784117e-12
"NUDT19",379.992856715257,1.03422483140054,0.140846381647165,7.34292794252524,2.0897104794527e-13,1.50995601375003e-12
"LZTS2",1718.65383518459,0.504530860621359,0.0687280496596448,7.34097450924182,2.12044196905331e-13,1.53166637253951e-12
"C2orf16",799.178002903147,-0.794515495177526,0.108270227851865,-7.33826381398754,2.1638233994099e-13,1.56249722628148e-12
"FIGN",997.795969814004,-0.692821495317632,0.094427228264765,-7.33709448057743,2.18280526506257e-13,1.57569492470554e-12
"AIMP1",1850.03098723156,0.582152327888384,0.0793505253429958,7.3364646972658,2.19309625647681e-13,1.5821016215623e-12
"GLB1",1659.17745797765,0.509424153584139,0.0695594856581746,7.32357562399933,2.41449425047806e-13,1.73957227607782e-12
"PXN",1247.73038787232,0.60456541184891,0.0825795316056335,7.32100800396967,2.46115157925751e-13,1.77147428807813e-12
"GAS6",1319.66340348448,-0.537677143555051,0.0734677078724766,-7.31855068199947,2.50663352258258e-13,1.8036301544172e-12
"SALL4",257.201587414399,1.24266117065957,0.169834171155063,7.31690897189932,2.53747851108792e-13,1.824649525235e-12
"STK35",1472.73943633238,-0.519057438479951,0.071029795864482,-7.3076014391237,2.71953011649127e-13,1.95367337105315e-12
"CRIM1-DT",115.579536169376,-1.77542949612298,0.243002652823127,-7.30621446102177,2.74773498240937e-13,1.97266717384732e-12
"SDHD",262.579883328627,-1.24529879278281,0.170499244411878,-7.30383760396335,2.79673906269834e-13,2.00720363880042e-12
