"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL23AP3",5.64545364221233,5.85152354556108,1.61295657340229,3.62782460610094,0.000285819312720943,0.000855178117899377
"PGAM1P7",23.2056877085814,2.16197244403613,0.596185614269795,3.62634118014422,0.000287465487255813,0.000859786986048973
"RN7SL42P",11.6533259453756,3.95977281897534,1.09344903960085,3.62136018741286,0.000293058168340909,0.000875440365166386
"LINC01865",9.87932465330081,4.76286166559293,1.31528566146728,3.62116139871826,0.000293283470291466,0.000875898771759739
"PIK3C2G",7.78575116195411,-5.5195054694269,1.52571967512245,-3.61764061866995,0.000297300813998286,0.000887244607944457
"CLDN2",23.3714034170892,2.31095386308455,0.638854772884198,3.61733833912116,0.000297648118233675,0.000888172367981088
"S1PR1",47.1688382507213,-3.71804847642007,1.02844462476122,-3.61521504114362,0.000300098412619902,0.000895155309089608
"FAM83A",5.65739254234215,5.8543430473264,1.62010021341047,3.61356846870753,0.000302011555211635,0.000900421342525076
"LACTB2-AS1",17.7191030332987,2.72336068832686,0.753711079803094,3.61326874621286,0.000302361027400305,0.000901132694056256
"FAM181A",9.66609956934273,-4.2965187061381,1.18962562891064,-3.61165613931206,0.00030424781338509,0.000906312789976209
"GRTP1-AS1",5.42467656216062,5.79546309186529,1.60472811682371,3.61149220924505,0.000304440231338709,0.000906775191851992
"NDUFV1-DT",10.5556832945238,3.80116388794472,1.0525936222664,3.61123591055039,0.000304741298182668,0.000907450211564461
"CFB",16.2809499608208,2.7223550680352,0.754043592553302,3.61034175599438,0.000305793820710867,0.000910250877374235
"IDH3B-DT",9.5767877056685,4.71608553345644,1.30872301575725,3.60357805026269,0.000313866438968852,0.000932800038388415
"MOCOS",24.1004908656181,2.27927613260664,0.632594010210583,3.60306309547239,0.000314489150633648,0.000934536803260158
"PLEK2",12.2917979344149,3.7095158809333,1.0300794979793,3.60119377990751,0.00031675936300979,0.000941168265769523
"HTATSF1P1",5.38160885986574,5.78507098314833,1.60664154843246,3.60072287984373,0.000317333667360118,0.000942759775505593
"SLC32A1",28.5057508818396,2.05727321993403,0.572191460593032,3.5954280369753,0.000323858646015506,0.000961441800456603
"TLX2",24.5513737721223,2.05593392416812,0.572255402258888,3.59268591620567,0.000327286987146998,0.000971146564514799
"RN7SL146P",12.1563930693937,3.36791105678,0.938361071880296,3.58914191744054,0.000331768203228931,0.000983844846889783
"BST1",23.6476442260742,2.17841434427352,0.607925476559626,3.58335754672038,0.000339205790231756,0.00100504503310617
"OTOR",5.6552677477988,5.85390671107096,1.6342447330612,3.58202574721209,0.00034094018085153,0.00100970896389791
"PLAC8",7.59471303015505,5.28640704756086,1.47729758623169,3.57843070809146,0.000345663482621214,0.001022935675843
"SCGN",13.2769978346857,-2.93556887386758,0.821166187544448,-3.57487792166148,0.000350391350284519,0.00103567000880557
"FAM138E",17.0843681300738,2.55424594734786,0.714673648932431,3.57400325472102,0.000351564555422905,0.00103888583084732
"CNFN",15.1078532097155,2.76671746583829,0.774142501389994,3.57391237513839,0.000351686664175386,0.00103912072781438
"SIGLEC16",5.41654894197983,5.79356881075051,1.62277889644621,3.57015291697352,0.000356772895156706,0.0010535105643346
"TXNDC2",5.25590467171489,5.75025775570162,1.61141923695671,3.5684430369352,0.000359108905627625,0.001060151754088
"PRDM7",7.61767775169081,5.28811288392847,1.48559303397971,3.55959725373934,0.000371423968676927,0.00109425558292422
"ALKAL2",20.2230388631538,2.2387237804041,0.62976062909839,3.55488050056292,0.000378150914271443,0.00111219247186566
"ZPLD2P",14.044792576582,2.79477330582303,0.78643114914736,3.55374187410188,0.00037979177874962,0.00111647976241539
"LIF-AS1",5.61976340862457,5.84896226896847,1.64619522838989,3.55301860198514,0.000380837533491505,0.00111941901646653
"POSTN",17.4293942892292,-2.57957968119642,0.726064230144719,-3.55282573372641,0.000381116849374224,0.00112010499294146
"GUCY2C",10.3342717836193,4.22206508134343,1.18992797642309,3.54816859927515,0.000387919822115108,0.00113845222710768
"UBA7",19.2296282425811,2.24341775177769,0.633037805215213,3.54389221827754,0.000394266388921581,0.00115652106528946
