"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.76323940276072e-207,0.422612465797695,0.16,0.349,2.2249562038298e-202,0,"RNF216"
1.46186351706666e-206,0.345331184733924,0.294,0.558,5.64367029398754e-202,0,"PSMC6"
1.46777706966916e-206,0.407001937120967,0.33,0.613,5.66650015516474e-202,0,"ANKRD11"
7.06983866092581e-206,0.416544152586022,0.109,0.269,2.72938191343702e-201,0,"CSNK1D"
9.34869995741164e-206,0.207283775650687,0.206,0.416,3.60915910555834e-201,0,"NARF"
1.11976355392123e-205,0.232710831870164,0.145,0.325,4.3229591762683e-201,0,"C3orf38"
1.46637244793324e-205,0.441418426527828,0.16,0.348,5.66107747249107e-201,0,"ARIH2"
1.54623573267815e-205,0.418995289544198,0.222,0.442,5.96939766957726e-201,0,"PRPF8"
2.13220215606614e-205,0.409399817357121,0.14,0.317,8.23157964370893e-201,0,"FKBP4"
2.67076781229287e-205,0.302844055674548,0.425,0.766,1.03107662161378e-200,0,"EIF5"
7.33242886393806e-205,0.238958055464677,0.09,0.237,2.83075748721193e-200,0,"NCOR2"
1.3258621392645e-204,0.117206393778101,0.09,0.24,5.11862337484453e-200,0,"GTF2E2"
1.75244470084959e-204,0.104019257820495,0.116,0.278,6.76548801209992e-200,0,"TMX3"
2.5355535594549e-204,0.362924143264304,0.259,0.509,9.78875807163159e-200,0,"MRPL18"
4.48611267594945e-204,0.298847910218677,0.339,0.617,1.73190865967704e-199,0,"SARS1"
5.10557740804355e-204,0.304680796828507,0.153,0.335,1.97105921414929e-199,0,"TRPM7"
5.87350632176388e-204,0.421639501002611,0.172,0.366,2.26752585058016e-199,0,"PSMF1"
6.07802353410192e-203,0.252640710705361,0.127,0.294,2.34648176557539e-198,0,"CASP8AP2"
1.06769167652299e-202,0.370631904917373,0.224,0.448,4.12193048638464e-198,0,"AHSA1"
1.26067575927963e-202,0.338011713781755,0.13,0.3,4.86696483627494e-198,0,"PAAF1"
5.74102441566777e-202,0.189386996451229,0.132,0.301,2.2163798859127e-197,0,"XPO4"
1.40958423910656e-201,0.526239750315382,0.219,0.44,5.44184091349477e-197,0,"SNRNP200"
