"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC39A132",1.14111468034275e-09,0.469013932146559,0.155,0.065,4.40538733493121e-05,"7","SLC39A13"
"ENSG000002699341",1.14210607853059e-09,1.40122772388798,0.059,0.015,4.4092147267752e-05,"7","ENSG00000269934"
"FOXF2",1.14845081834084e-09,4.94161238208924,0.01,0.001,4.43370922928664e-05,"7","FOXF2"
"MCU1",1.16555781541991e-09,0.596996993621812,0.406,0.245,4.49975250221011e-05,"7","MCU"
"PPM1N2",1.16859973863102e-09,0.971586565245554,0.066,0.018,4.51149615095893e-05,"7","PPM1N"
"BATF2",1.18311553681624e-09,3.10386977383172,0.01,0.001,4.56753584143277e-05,"7","BATF2"
"LINC02286",1.192856371344e-09,2.75092150449989,0.01,0.001,4.60514130721064e-05,"7","LINC02286"
"ALDH1A1",1.20055091458749e-09,1.47977362238163,0.03,0.005,4.63484686085647e-05,"7","ALDH1A1"
"CYB5R2",1.28520850797429e-09,2.91767763278501,0.02,0.002,4.96167596588556e-05,"7","CYB5R2"
"TBXA2R",1.29184330620956e-09,3.17744823082083,0.02,0.002,4.98729026795261e-05,"7","TBXA2R"
"ETFA3",1.30500768826154e-09,0.151562143033904,0.591,0.367,5.03811268130248e-05,"7","ETFA"
"ENSG000002905812",1.32665669625535e-09,1.46534831230582,0.023,0.003,5.12169084156339e-05,"7","ENSG00000290581"
"VASH1-DT3",1.32695294930065e-09,0.856457456837531,0.066,0.018,5.1228345560701e-05,"7","VASH1-DT"
"TEX49",1.33888140239189e-09,1.10570805920857,0.04,0.008,5.16888554207412e-05,"7","TEX49"
"ZBTB15",1.38822904430652e-09,0.243327153783952,0.327,0.177,5.35939704844976e-05,"7","ZBTB1"
"FOXA31",1.40882540177425e-09,1.79209864114422,0.026,0.004,5.43891134608966e-05,"7","FOXA3"
"KIF13A3",1.41344675402513e-09,0.198080150292419,0.432,0.249,5.45675253858942e-05,"7","KIF13A"
"RARS1",1.43384463789194e-09,0.177094908042011,0.561,0.346,5.53550060904562e-05,"7","RARS1"
"RALY-AS11",1.45694617044276e-09,0.70836424054795,0.076,0.023,5.62468638561131e-05,"7","RALY-AS1"
"ING52",1.46063769716314e-09,0.239884701257814,0.34,0.186,5.63893789366802e-05,"7","ING5"
"COL4A2-AS2",1.46917625548967e-09,3.91050866560835,0.02,0.002,5.67190185194341e-05,"7","COL4A2-AS2"
"AMOTL12",1.48591479464508e-09,0.171632032822341,0.409,0.232,5.73652265620681e-05,"7","AMOTL1"
"CDKN2A2",1.49739288407398e-09,1.44153681804868,0.04,0.008,5.78083496825601e-05,"7","CDKN2A"
"PKD2L23",1.50877551839873e-09,0.224835159221871,0.274,0.141,5.82477876633014e-05,"7","PKD2L2"
"PBX21",1.50884207218871e-09,0.295897711329761,0.162,0.068,5.82503570389173e-05,"7","PBX2"
"ALOX5AP",1.51483527996565e-09,1.07137128767484,0.023,0.003,5.84817308183538e-05,"7","ALOX5AP"
"TLE43",1.53070790250687e-09,0.114150483025531,0.65,0.407,5.90945092841804e-05,"7","TLE4"
"MAP3K192",1.54868081454103e-09,0.373754858965935,0.158,0.067,5.9788371526171e-05,"7","MAP3K19"
"CLDN102",1.55515584863315e-09,0.973605234525539,0.053,0.013,6.00383466923315e-05,"7","CLDN10"
"ENSG000002600773",1.55751337269426e-09,0.799807896146405,0.116,0.043,6.01293612662345e-05,"7","ENSG00000260077"
