"gene","module"
"PLCD3","black"
"PLEK","black"
"PLEKHG7","black"
"PLEKHS1","black"
"PLGLA","black"
"PLUT","black"
"PNLDC1","black"
"POLR3GL","black"
"POTEG","black"
"POTEH-AS1","black"
"POTEKP","black"
"PPARG","black"
"PPIAP13","black"
"PPIAP24","black"
"PPIAP27","black"
"PPM1N","black"
"PRAMEF10","black"
"PRELID1P6","black"
"PRMT8","black"
"PRND","black"
"PRR23C","black"
"PRSS36","black"
"PRSS40B","black"
"PSG6","black"
"PSMC2P2","black"
"PSMD10P2","black"
"PSRC1","black"
"PTCHD3","black"
"PTCSC2","black"
"PTX3","black"
"PWRN2","black"
"PXDC1","black"
"RAB19","black"
"RAB24","black"
"RAB8A","black"
"RAD17P2","black"
"RANBP20P","black"
"RBM22P1","black"
"RBMS3-AS3","black"
"RBMX2P2","black"
"RBPMSLP","black"
"RCC1L","black"
"RDH12","black"
"RER1","black"
"RFPL3S","black"
"RFX4","black"
"RGL3","black"
"RGMA","black"
"RGPD2","black"
"RGS20","black"
"RGS22","black"
"RHAG","black"
"RHBG","black"
"RHNO1","black"
"RHO","black"
"RN7SKP109","black"
"RN7SKP192","black"
"RN7SKP213","black"
"RN7SKP22","black"
"RN7SKP229","black"
"RN7SKP78","black"
"RN7SKP90","black"
"RN7SL100P","black"
"RN7SL111P","black"
"RN7SL184P","black"
"RN7SL211P","black"
"RN7SL230P","black"
"RN7SL259P","black"
"RN7SL266P","black"
"RN7SL301P","black"
"RN7SL383P","black"
"RN7SL475P","black"
"RN7SL546P","black"
"RN7SL547P","black"
"RN7SL555P","black"
"RN7SL569P","black"
"RN7SL578P","black"
"RN7SL583P","black"
"RN7SL621P","black"
"RN7SL697P","black"
"RN7SL790P","black"
"RN7SL791P","black"
"RN7SL794P","black"
"RN7SL817P","black"
"RN7SL89P","black"
"RNA5SP173","black"
"RNA5SP186","black"
"RNA5SP19","black"
"RNA5SP208","black"
"RNA5SP325","black"
"RNA5SP329","black"
"RNA5SP367","black"
"RNA5SP378","black"
"RNA5SP391","black"
"RNA5SP437","black"
"RNA5SP492","black"
"RNA5SP89","black"
"RNASE10","black"
"RNASE3","black"
"RND1","black"
"RND3","black"
"RNF185","black"
"RNU1-56P","black"
"RNU4-47P","black"
"RNU5A-7P","black"
"RNU6-1040P","black"
"RNU6-1057P","black"
"RNU6-1116P","black"
"RNU6-1276P","black"
"RNU6-152P","black"
"RNU6-176P","black"
"RNU6-194P","black"
"RNU6-23P","black"
"RNU6-267P","black"
"RNU6-373P","black"
"RNU6-454P","black"
"RNU6-577P","black"
"RNU6-603P","black"
"RNU6-612P","black"
"RNU6-739P","black"
"RNU6-740P","black"
"RNU6-777P","black"
